run,is_homo,map,map_50,map_75,d_map75_vs_solo,beats_map75
homo_1_normgrad,homo,0.4498,0.8849,0.3766,+0.0388,True
homo_2_normgrad,homo,0.4586,0.8880,0.3915,+0.0538,True
homo_T_cagrad,homo,0.3084,0.7127,0.1720,-0.1657,False
homo_T_mgda,homo,0.3094,0.7297,0.1742,-0.1635,False
homo_T_normgrad,homo,0.3308,0.6941,0.2245,-0.1132,False
homo_T_pcgrad,homo,0.3751,0.7570,0.2853,-0.0524,False
pair_12_cagrad,multi,0.4697,0.9196,0.3823,+0.0446,True
pair_12_mgda,multi,0.4642,0.9231,0.3792,+0.0415,True
pair_12_normgrad,multi,0.4486,0.8907,0.3715,+0.0337,True
pair_12_pcgrad,multi,0.4504,0.9174,0.3377,-0.0000,False
pair_12_sum,multi,0.4470,0.8959,0.3439,+0.0061,True
pair_T1_cagrad,multi,0.4580,0.9066,0.3546,+0.0169,True
pair_T1_mgda,multi,0.4414,0.8656,0.3512,+0.0135,True
pair_T1_normgrad,multi,0.4350,0.8629,0.3370,-0.0007,False
pair_T1_pcgrad,multi,0.4197,0.8687,0.2971,-0.0407,False
pair_T1_sum,multi,0.4370,0.8655,0.3242,-0.0135,False
pair_T2_cagrad,multi,0.4487,0.8830,0.3511,+0.0133,True
pair_T2_mgda,multi,0.4614,0.8985,0.3930,+0.0553,True
pair_T2_normgrad,multi,0.4660,0.9015,0.3729,+0.0352,True
pair_T2_pcgrad,multi,0.3963,0.8197,0.3068,-0.0309,False
triple_cagrad,multi,0.4401,0.8691,0.3504,+0.0127,True
triple_mgda,multi,0.4538,0.8788,0.3630,+0.0253,True
triple_normgrad,multi,0.4696,0.9134,0.4107,+0.0730,True
triple_pcgrad,multi,0.4256,0.8524,0.3129,-0.0248,False
triple_sum,multi,0.4430,0.8900,0.3453,+0.0076,True

SOLO_BASELINE,,0.4566,0.9115,0.3377,,
